"id","name"
11712,"нержавеющая сталь/напыление розового золота"
11713,"полиэстер/металл/пластик"
11714,"бумага/полипропилен"
11715,"бумага/полиуретан"
11716,"бумага/картон"
11717,"матовый черный полиуретан на тканевой основе"
11718,"телячья кожа/кристаллы Swarovski"
11719,"телячья кожа/микрофибра/кристаллы Swarovski"
11720,"натуральный камень- змеевик/стекло/бронза"
11721,"колокольная бронза/дерево"
11722,"бронза/натуральный камень- змеевик"
11723,"95% органический хлопок, 5% эластан"
11724,"латунь/хромированное покрытие с золотой отделкой"
11725,"корпус - латунь, платиновое покрытие. Отделка и детали дизайна - платина, позолота 23К"
11726,"корпус - латунь, позолота, отделка и детали дизайна - позолота 23К"
11727,"полиэстер 1200D"
11728,"полиэстер 900D"
11729,"латунь, покрытая перламутровым лаком с декором. Отделка и детали дизайна — хром"
11730,"корпус - латунь и хромированное покрытие. Отделка и детали дизайна - позолота 23К."
11731,"корпус - латунь и лакированное покрытие. Отделка и детали дизайна - хром"
11732,"корпус - латунь и лакированное покрытие. Отделка и детали дизайна - хром. "
11733,"нейлон/металл/пластик"
11734,"металл/пластик/каучук"
11735,"полиэстер/дерево/металл"
11736,"полиэстер, металл, дерево"
11737,"карбоновая кожа"
11738,"натуральная кожа/палладий"
11739,"металл/кристаллы Swarovski"
11740,"покрытие розовое золото/кристаллы Swarovski"
11741,"кристаллы Swarovski/металл"
11742,"сетчатый материал, 100% полиэстер с дышащей поверхностью"
11743,"трикотаж, 100% полиэстер с дышащей поверхностью, начес с внутренней стороны"
11744,"100% полиэстер, 290Т; водостойкое покрытие с водоотталкивающей отделкой, подкладка 100% полиэстер"
11745,"100% полиэстер, джерси, микрофлис"
11746,"90% полиэстер, 10% эластан, проклеенный сетчатым материалом из 100% полиэстера"
11747,"100% полиэстер, 240T; водостойкое покрытие с водоотталкивающей отделкой"
11748,"100% нейлон с водоотталкивающим покрытием; 80% пух, 20% перо"
11749,"nan"
11750,"100% полиэстер с водонепроницаемой дышащей мембраной и водоотталкивающей отделкой"
11751,"корал-флис 240 г/м²"
11752,"дерево/нержавеющая сталь"
11753,"АБС-пластик/силикон"
11754,"холщовый хлопок/искусственная кожа"
11755,"холщовый хлопок 18 унций, искусственная кожа"
11756,"полиэстер 600D, рипстоп полиэстер 600D"
11757,"полиэстер/рипстоп полиэстер"
11758,"нержавеющая сталь/АБС пластик"
11759,"металл/резина"
11760,"тритан без БФА"
11761,"алюминий без БФА"
11762,"силикон/сталь/ПВХ"
11763,"АБС-пластик/ПВХ"
11764,"холщовый хлопок"
11765,"хлопок 100 г/м2"
11766,"фарфор/полиэстер"
11767,"биоразлагаемый пластик"
11768,"пластик c покрытием софт-тач"
11769,"акрил/поликарбонат"
11770,"поликарбонат/акрил"
11771,"эпонж полиэстер/стекловолокно"
11772,"полиэстер, стекловолокно, пластик"
11773,"АС пластик"
11774,"АБС пластик/ПУ"
11775,"цинковый сплав/латунь/резина"
11776,"цинковый сплав/шерсть"
11777,"PU-кожа, цинковый сплав, латунь"
11778,"цинковый сплав/резина"
11779,"PU, цинковый сплав"
11780,"цинковый сплав/резина/латунь"
11781,"цинковый сплав/кожа/латунь"
11782,"PU, металл"
11783,"PU, шелк"
11784,"латунь, цинковый сплав"
11785,"PU, цинковый сплав, латунь"
11786,"PU, латунь"
11787,"цинковый сплав/резина/PU-кожа"
11788,"металл/кожа"
11789,"ремень- кожа, ручка- латунь"
11790,"ремень- кожа, хронограф- нержавеющая сталь/резина"
